infinitive_spanish,infinitive_english,mood_spanish,mood_english,tense_spanish,tense_english,form_1ps_spanish,form_1ps_english,form_2ps_spanish,form_2ps_english,form_3ps_spanish,form_3ps_english,form_1pp_spanish,form_1pp_english,form_2pp_spanish,form_2pp_english,form_3pp_spanish,form_3pp_english,gerund_spanish,gerund_english,past_participle_spanish,past_participle_english
jactarse,"to boast, brag",subjuntivo,subjunctive,pluscuamperfecto,past perfect,me hubiera jactado,I had boasted,te hubieras jactado,you had boasted,se hubiera jactado,he/she had boasted,nos hubiéramos jactado,we had boasted,os hubierais jactado,you had boasted,se hubieran jactado,they had boasted,jactándose,boasting,jactado,boasted
jactarse,"to boast, brag",imperativo_afirmativo,imperative_affirmative,presente,present,,,jáctate,Boast!,jactaos,,,,jáctese,,jáctense,,jactándose,boasting,jactado,boasted
jactarse,"to boast, brag",imperativo_negativo,imperative_negative,presente,present,,,no te jactes,Don't boast!,no os jactéis,,,,no se jacte,,no se jacten,,jactándose,boasting,jactado,boasted
jugar,to play,indicativo,indicative,presente,present,juego,"I play, am playing",juegas,"you play, are playing",juega,"he/she play, is playing",jugamos,"we play, are playing",jugáis,"you play, are playing",juegan,"they play, are playing",jugando,playing,jugado,played
jugar,to play,indicativo,indicative,futuro,future,jugaré,I will play,jugarás,you will play,jugará,he/she will play,jugaremos,we will play,jugaréis,you will play,jugarán,they will play,jugando,playing,jugado,played
jugar,to play,indicativo,indicative,imperfecto,imperfect,jugaba,"I was playing, used to play, played",jugabas,"you were playing, used to play, played",jugaba,"he/she was playing, used to play, played",jugábamos,"we were playing, used to play, played",jugabais,"you were playing, used to play, played",jugaban,"they were playing, used to play, played",jugando,playing,jugado,played
jugar,to play,indicativo,indicative,pretérito,preterite,jugué,I played,jugaste,you played,jugó,he/she played,jugamos,we played,jugasteis,you played,jugaron,they played,jugando,playing,jugado,played
jugar,to play,indicativo,indicative,condicional,conditional,jugaría,I would play,jugarías,you would play,jugaría,he/she would play,jugaríamos,we would play,jugaríais,you would play,jugarían,they would play,jugando,playing,jugado,played
jugar,to play,indicativo,indicative,presente perfecto,present perfect,he jugado,I have played,has jugado,you have played,ha jugado,he/she has played,hemos jugado,we have played,habéis jugado,you have played,han jugado,they have played,jugando,playing,jugado,played
jugar,to play,indicativo,indicative,futuro perfecto,future perfect,habré jugado,I will have played,habrás jugado,you will have played,habrá jugado,he/she will has played,habremos jugado,we will have played,habréis jugado,you will have played,habrán jugado,they will have played,jugando,playing,jugado,played
jugar,to play,indicativo,indicative,pluscuamperfecto,past perfect,había jugado,I had played,habías jugado,you had played,había jugado,he/she had played,habíamos jugado,we had played,habíais jugado,you had played,habían jugado,they had played,jugando,playing,jugado,played
jugar,to play,indicativo,indicative,pretérito anterior,preterite (archaic),hube jugado,I had played,hubiste jugado,you had played,hubo jugado,he/she had played,hubimos jugado,we had played,hubisteis jugado,you had played,hubieron jugado,they had played,jugando,playing,jugado,played
jugar,to play,indicativo,indicative,condicional perfecto,conditional perfect,habría jugado,I would have played,habrías jugado,you would have played,habría jugado,he/she would has played,habríamos jugado,we would have played,habríais jugado,you would have played,habrían jugado,they would have played,jugando,playing,jugado,played
jugar,to play,subjuntivo,subjunctive,presente,present,juegue,"I play, am playing",juegues,"you play, are playing",juegue,"he/she play, is playing",juguemos,"we play, are playing",juguéis,"you play, are playing",jueguen,"they play, are playing",jugando,playing,jugado,played
jugar,to play,subjuntivo,subjunctive,imperfecto,imperfect,jugara,"I played, was playing",jugaras,"you played, were playing",jugara,"he/she played, was playing",jugáramos,"we played, were playing",jugarais,"you played, were playing",jugaran,"they played, were playing",jugando,playing,jugado,played
jugar,to play,subjuntivo,subjunctive,futuro,future,jugare,I will play,jugares,you will play,jugare,he/she will play,jugáremos,we will play,jugareis,you will play,jugaren,they will play,jugando,playing,jugado,played
jugar,to play,subjuntivo,subjunctive,presente perfecto,present perfect,haya jugado,"I have played, played",hayas jugado,"you have played, played",haya jugado,"he/she has played, played",hayamos jugado,"we have played, played",hayáis jugado,"you have played, played",hayan jugado,"they have played, played",jugando,playing,jugado,played
jugar,to play,subjuntivo,subjunctive,futuro perfecto,future perfect,hubiere jugado,I will have played,hubieres jugado,you will have played,hubiere jugado,he/she will has played,hubiéremos jugado,we will have played,hubiereis jugado,you will have played,hubieren jugado,they will have played,jugando,playing,jugado,played
jugar,to play,subjuntivo,subjunctive,pluscuamperfecto,past perfect,hubiera jugado,I had played,hubieras jugado,you had played,hubiera jugado,he/she had played,hubiéramos jugado,we had played,hubierais jugado,you had played,hubieran jugado,they had played,jugando,playing,jugado,played
jugar,to play,imperativo_afirmativo,imperative_affirmative,presente,present,,,juega,Play!,jugad,,,,juegue,,jueguen,,jugando,playing,jugado,played
jugar,to play,imperativo_negativo,imperative_negative,presente,present,,,no juegues,Don't play!,no juguéis,,,,no juegue,,no jueguen,,jugando,playing,jugado,played
juntar,"to join, unite, put together, assemble",indicativo,indicative,presente,present,junto,"I join, am joining",juntas,"you join, are joining",junta,"he/she join, is joining",juntamos,"we join, are joining",juntáis,"you join, are joining",juntan,"they join, are joining",juntando,joining,juntado,joined
juntar,"to join, unite, put together, assemble",indicativo,indicative,futuro,future,juntaré,I will join,juntarás,you will join,juntará,he/she will join,juntaremos,we will join,juntaréis,you will join,juntarán,they will join,juntando,joining,juntado,joined
juntar,"to join, unite, put together, assemble",indicativo,indicative,imperfecto,imperfect,juntaba,"I was joining, used to join, joined",juntabas,"you were joining, used to join, joined",juntaba,"he/she was joining, used to join, joined",juntábamos,"we were joining, used to join, joined",juntabais,"you were joining, used to join, joined",juntaban,"they were joining, used to join, joined",juntando,joining,juntado,joined
juntar,"to join, unite, put together, assemble",indicativo,indicative,pretérito,preterite,junté,I joined,juntaste,you joined,juntó,he/she joined,juntamos,we joined,juntasteis,you joined,juntaron,they joined,juntando,joining,juntado,joined
juntar,"to join, unite, put together, assemble",indicativo,indicative,condicional,conditional,juntaría,I would join,juntarías,you would join,juntaría,he/she would join,juntaríamos,we would join,juntaríais,you would join,juntarían,they would join,juntando,joining,juntado,joined
juntar,"to join, unite, put together, assemble",indicativo,indicative,presente perfecto,present perfect,he juntado,I have joined,has juntado,you have joined,ha juntado,he/she has joined,hemos juntado,we have joined,habéis juntado,you have joined,han juntado,they have joined,juntando,joining,juntado,joined
juntar,"to join, unite, put together, assemble",indicativo,indicative,futuro perfecto,future perfect,habré juntado,I will have joined,habrás juntado,you will have joined,habrá juntado,he/she will has joined,habremos juntado,we will have joined,habréis juntado,you will have joined,habrán juntado,they will have joined,juntando,joining,juntado,joined
juntar,"to join, unite, put together, assemble",indicativo,indicative,pluscuamperfecto,past perfect,había juntado,I had joined,habías juntado,you had joined,había juntado,he/she had joined,habíamos juntado,we had joined,habíais juntado,you had joined,habían juntado,they had joined,juntando,joining,juntado,joined
juntar,"to join, unite, put together, assemble",indicativo,indicative,pretérito anterior,preterite (archaic),hube juntado,I had joined,hubiste juntado,you had joined,hubo juntado,he/she had joined,hubimos juntado,we had joined,hubisteis juntado,you had joined,hubieron juntado,they had joined,juntando,joining,juntado,joined
juntar,"to join, unite, put together, assemble",indicativo,indicative,condicional perfecto,conditional perfect,habría juntado,I would have joined,habrías juntado,you would have joined,habría juntado,he/she would has joined,habríamos juntado,we would have joined,habríais juntado,you would have joined,habrían juntado,they would have joined,juntando,joining,juntado,joined
juntar,"to join, unite, put together, assemble",subjuntivo,subjunctive,presente,present,junte,"I join, am joining",juntes,"you join, are joining",junte,"he/she join, is joining",juntemos,"we join, are joining",juntéis,"you join, are joining",junten,"they join, are joining",juntando,joining,juntado,joined
juntar,"to join, unite, put together, assemble",subjuntivo,subjunctive,imperfecto,imperfect,juntara,"I joined, was joining",juntaras,"you joined, were joining",juntara,"he/she joined, was joining",juntáramos,"we joined, were joining",juntarais,"you joined, were joining",juntaran,"they joined, were joining",juntando,joining,juntado,joined
juntar,"to join, unite, put together, assemble",subjuntivo,subjunctive,futuro,future,juntare,I will join,juntares,you will join,juntare,he/she will join,juntáremos,we will join,juntareis,you will join,juntaren,they will join,juntando,joining,juntado,joined
juntar,"to join, unite, put together, assemble",subjuntivo,subjunctive,presente perfecto,present perfect,haya juntado,"I have joined, joined",hayas juntado,"you have joined, joined",haya juntado,"he/she has joined, joined",hayamos juntado,"we have joined, joined",hayáis juntado,"you have joined, joined",hayan juntado,"they have joined, joined",juntando,joining,juntado,joined
juntar,"to join, unite, put together, assemble",subjuntivo,subjunctive,futuro perfecto,future perfect,hubiere juntado,I will have joined,hubieres juntado,you will have joined,hubiere juntado,he/she will has joined,hubiéremos juntado,we will have joined,hubiereis juntado,you will have joined,hubieren juntado,they will have joined,juntando,joining,juntado,joined
juntar,"to join, unite, put together, assemble",subjuntivo,subjunctive,pluscuamperfecto,past perfect,hubiera juntado,I had joined,hubieras juntado,you had joined,hubiera juntado,he/she had joined,hubiéramos juntado,we had joined,hubierais juntado,you had joined,hubieran juntado,they had joined,juntando,joining,juntado,joined
juntar,"to join, unite, put together, assemble",imperativo_afirmativo,imperative_affirmative,presente,present,,,junta,Join!,juntad,,,,junte,,junten,,juntando,joining,juntado,joined
juntar,"to join, unite, put together, assemble",imperativo_negativo,imperative_negative,presente,present,,,no juntes,Don't join!,no juntéis,,,,no junte,,no junten,,juntando,joining,juntado,joined
juntarse,"to join, come together, gather together, meet",indicativo,indicative,presente,present,me junto,"I join, am joining",te juntas,"you join, are joining",se junta,"he/she join, is joining",nos juntamos,"we join, are joining",os juntáis,"you join, are joining",se juntan,"they join, are joining",juntándose,joining,juntado,joined
juntarse,"to join, come together, gather together, meet",indicativo,indicative,futuro,future,me juntaré,I will join,te juntarás,you will join,se juntará,he/she will join,nos juntaremos,we will join,os juntaréis,you will join,se juntarán,they will join,juntándose,joining,juntado,joined
juntarse,"to join, come together, gather together, meet",indicativo,indicative,imperfecto,imperfect,me juntaba,"I was joining, used to join, joined",te juntabas,"you were joining, used to join, joined",se juntaba,"he/she was joining, used to join, joined",nos juntábamos,"we were joining, used to join, joined",os juntabais,"you were joining, used to join, joined",se juntaban,"they were joining, used to join, joined",juntándose,joining,juntado,joined
juntarse,"to join, come together, gather together, meet",indicativo,indicative,pretérito,preterite,me junté,I joined,te juntaste,you joined,se juntó,he/she joined,nos juntamos,we joined,os juntasteis,you joined,se juntaron,they joined,juntándose,joining,juntado,joined
juntarse,"to join, come together, gather together, meet",indicativo,indicative,condicional,conditional,me juntaría,I would join,te juntarías,you would join,se juntaría,he/she would join,nos juntaríamos,we would join,os juntaríais,you would join,se juntarían,they would join,juntándose,joining,juntado,joined
juntarse,"to join, come together, gather together, meet",indicativo,indicative,presente perfecto,present perfect,me he juntado,I have joined,te has juntado,you have joined,se ha juntado,he/she has joined,nos hemos juntado,we have joined,os habéis juntado,you have joined,se han juntado,they have joined,juntándose,joining,juntado,joined
juntarse,"to join, come together, gather together, meet",indicativo,indicative,futuro perfecto,future perfect,me habré juntado,I will have joined,te habrás juntado,you will have joined,se habrá juntado,he/she will has joined,nos habremos juntado,we will have joined,os habréis juntado,you will have joined,se habrán juntado,they will have joined,juntándose,joining,juntado,joined
juntarse,"to join, come together, gather together, meet",indicativo,indicative,pluscuamperfecto,past perfect,me había juntado,I had joined,te habías juntado,you had joined,se había juntado,he/she had joined,nos habíamos juntado,we had joined,os habíais juntado,you had joined,se habían juntado,they had joined,juntándose,joining,juntado,joined
juntarse,"to join, come together, gather together, meet",indicativo,indicative,pretérito anterior,preterite (archaic),me hube juntado,I had joined,te hubiste juntado,you had joined,se hubo juntado,he/she had joined,nos hubimos juntado,we had joined,os hubisteis juntado,you had joined,se hubieron juntado,they had joined,juntándose,joining,juntado,joined
juntarse,"to join, come together, gather together, meet",indicativo,indicative,condicional perfecto,conditional perfect,me habría juntado,I would have joined,te habrías juntado,you would have joined,se habría juntado,he/she would has joined,nos habríamos juntado,we would have joined,os habríais juntado,you would have joined,se habrían juntado,they would have joined,juntándose,joining,juntado,joined
juntarse,"to join, come together, gather together, meet",subjuntivo,subjunctive,presente,present,me junte,"I join, am joining",te juntes,"you join, are joining",se junte,"he/she join, is joining",nos juntemos,"we join, are joining",os juntéis,"you join, are joining",se junten,"they join, are joining",juntándose,joining,juntado,joined
juntarse,"to join, come together, gather together, meet",subjuntivo,subjunctive,imperfecto,imperfect,me juntara,"I joined, was joining",te juntaras,"you joined, were joining",se juntara,"he/she joined, was joining",nos juntáramos,"we joined, were joining",os juntarais,"you joined, were joining",se juntaran,"they joined, were joining",juntándose,joining,juntado,joined
juntarse,"to join, come together, gather together, meet",subjuntivo,subjunctive,futuro,future,me juntare,I will join,te juntares,you will join,se juntare,he/she will join,nos juntáremos,we will join,os juntareis,you will join,se juntaren,they will join,juntándose,joining,juntado,joined
juntarse,"to join, come together, gather together, meet",subjuntivo,subjunctive,presente perfecto,present perfect,me haya juntado,"I have joined, joined",te hayas juntado,"you have joined, joined",se haya juntado,"he/she has joined, joined",nos hayamos juntado,"we have joined, joined",os hayáis juntado,"you have joined, joined",se hayan juntado,"they have joined, joined",juntándose,joining,juntado,joined
juntarse,"to join, come together, gather together, meet",subjuntivo,subjunctive,futuro perfecto,future perfect,me hubiere juntado,I will have joined,te hubieres juntado,you will have joined,se hubiere juntado,he/she will has joined,nos hubiéremos juntado,we will have joined,os hubiereis juntado,you will have joined,se hubieren juntado,they will have joined,juntándose,joining,juntado,joined
juntarse,"to join, come together, gather together, meet",subjuntivo,subjunctive,pluscuamperfecto,past perfect,me hubiera juntado,I had joined,te hubieras juntado,you had joined,se hubiera juntado,he/she had joined,nos hubiéramos juntado,we had joined,os hubierais juntado,you had joined,se hubieran juntado,they had joined,juntándose,joining,juntado,joined
juntarse,"to join, come together, gather together, meet",imperativo_afirmativo,imperative_affirmative,presente,present,,,júntate,Join!,juntaos,,,,júntese,,júntense,,juntándose,joining,juntado,joined
juntarse,"to join, come together, gather together, meet",imperativo_negativo,imperative_negative,presente,present,,,no te juntes,Don't join!,no os juntéis,,,,no se junte,,no se junten,,juntándose,joining,juntado,joined
jurar,to swear,indicativo,indicative,presente,present,juro,"I swear, am swearing",juras,"you swear, are swearing",jura,"he/she swear, is swearing",juramos,"we swear, are swearing",juráis,"you swear, are swearing",juran,"they swear, are swearing",jurando,swearing,jurado,sworn
jurar,to swear,indicativo,indicative,futuro,future,juraré,I will swear,jurarás,you will swear,jurará,he/she will swear,juraremos,we will swear,juraréis,you will swear,jurarán,they will swear,jurando,swearing,jurado,sworn
jurar,to swear,indicativo,indicative,imperfecto,imperfect,juraba,"I was swearing, used to swear, swore",jurabas,"you were swearing, used to swear, swore",juraba,"he/she was swearing, used to swear, swore",jurábamos,"we were swearing, used to swear, swore",jurabais,"you were swearing, used to swear, swore",juraban,"they were swearing, used to swear, swore",jurando,swearing,jurado,sworn
jurar,to swear,indicativo,indicative,pretérito,preterite,juré,I swore,juraste,you swore,juró,he/she swore,juramos,we swore,jurasteis,you swore,juraron,they swore,jurando,swearing,jurado,sworn
jurar,to swear,indicativo,indicative,condicional,conditional,juraría,I would swear,jurarías,you would swear,juraría,he/she would swear,juraríamos,we would swear,juraríais,you would swear,jurarían,they would swear,jurando,swearing,jurado,sworn
jurar,to swear,indicativo,indicative,presente perfecto,present perfect,he jurado,I have sworn,has jurado,you have sworn,ha jurado,he/she has sworn,hemos jurado,we have sworn,habéis jurado,you have sworn,han jurado,they have sworn,jurando,swearing,jurado,sworn
jurar,to swear,indicativo,indicative,futuro perfecto,future perfect,habré jurado,I will have sworn,habrás jurado,you will have sworn,habrá jurado,he/she will has sworn,habremos jurado,we will have sworn,habréis jurado,you will have sworn,habrán jurado,they will have sworn,jurando,swearing,jurado,sworn
jurar,to swear,indicativo,indicative,pluscuamperfecto,past perfect,había jurado,I had sworn,habías jurado,you had sworn,había jurado,he/she had sworn,habíamos jurado,we had sworn,habíais jurado,you had sworn,habían jurado,they had sworn,jurando,swearing,jurado,sworn
jurar,to swear,indicativo,indicative,pretérito anterior,preterite (archaic),hube jurado,I had sworn,hubiste jurado,you had sworn,hubo jurado,he/she had sworn,hubimos jurado,we had sworn,hubisteis jurado,you had sworn,hubieron jurado,they had sworn,jurando,swearing,jurado,sworn
jurar,to swear,indicativo,indicative,condicional perfecto,conditional perfect,habría jurado,I would have sworn,habrías jurado,you would have sworn,habría jurado,he/she would has sworn,habríamos jurado,we would have sworn,habríais jurado,you would have sworn,habrían jurado,they would have sworn,jurando,swearing,jurado,sworn
jurar,to swear,subjuntivo,subjunctive,presente,present,jure,"I swear, am swearing",jures,"you swear, are swearing",jure,"he/she swear, is swearing",juremos,"we swear, are swearing",juréis,"you swear, are swearing",juren,"they swear, are swearing",jurando,swearing,jurado,sworn
jurar,to swear,subjuntivo,subjunctive,imperfecto,imperfect,jurara,"I swore, was swearing",juraras,"you swore, were swearing",jurara,"he/she swore, was swearing",juráramos,"we swore, were swearing",jurarais,"you swore, were swearing",juraran,"they swore, were swearing",jurando,swearing,jurado,sworn
jurar,to swear,subjuntivo,subjunctive,futuro,future,jurare,I will swear,jurares,you will swear,jurare,he/she will swear,juráremos,we will swear,jurareis,you will swear,juraren,they will swear,jurando,swearing,jurado,sworn
jurar,to swear,subjuntivo,subjunctive,presente perfecto,present perfect,haya jurado,"I have sworn, swore",hayas jurado,"you have sworn, swore",haya jurado,"he/she has sworn, swore",hayamos jurado,"we have sworn, swore",hayáis jurado,"you have sworn, swore",hayan jurado,"they have sworn, swore",jurando,swearing,jurado,sworn
jurar,to swear,subjuntivo,subjunctive,futuro perfecto,future perfect,hubiere jurado,I will have sworn,hubieres jurado,you will have sworn,hubiere jurado,he/she will has sworn,hubiéremos jurado,we will have sworn,hubiereis jurado,you will have sworn,hubieren jurado,they will have sworn,jurando,swearing,jurado,sworn
jurar,to swear,subjuntivo,subjunctive,pluscuamperfecto,past perfect,hubiera jurado,I had sworn,hubieras jurado,you had sworn,hubiera jurado,he/she had sworn,hubiéramos jurado,we had sworn,hubierais jurado,you had sworn,hubieran jurado,they had sworn,jurando,swearing,jurado,sworn
jurar,to swear,imperativo_afirmativo,imperative_affirmative,presente,present,,,jura,Swear!,jurad,,,,jure,,juren,,jurando,swearing,jurado,sworn
jurar,to swear,imperativo_negativo,imperative_negative,presente,present,,,no jures,Don't swear!,no juréis,,,,no jure,,no juren,,jurando,swearing,jurado,sworn
ladrar,to bark,indicativo,indicative,presente,present,ladro,"I bark, am barking",ladras,"you bark, are barking",ladra,"he/she bark, is barking",ladramos,"we bark, are barking",ladráis,"you bark, are barking",ladran,"they bark, are barking",ladrando,barking,ladrado,barked
ladrar,to bark,indicativo,indicative,futuro,future,ladraré,I will bark,ladrarás,you will bark,ladrará,he/she will bark,ladraremos,we will bark,ladraréis,you will bark,ladrarán,they will bark,ladrando,barking,ladrado,barked
ladrar,to bark,indicativo,indicative,imperfecto,imperfect,ladraba,"I was barking, used to bark, barked",ladrabas,"you were barking, used to bark, barked",ladraba,"he/she was barking, used to bark, barked",ladrábamos,"we were barking, used to bark, barked",ladrabais,"you were barking, used to bark, barked",ladraban,"they were barking, used to bark, barked",ladrando,barking,ladrado,barked
ladrar,to bark,indicativo,indicative,pretérito,preterite,ladré,I barked,ladraste,you barked,ladró,he/she barked,ladramos,we barked,ladrasteis,you barked,ladraron,they barked,ladrando,barking,ladrado,barked
ladrar,to bark,indicativo,indicative,condicional,conditional,ladraría,I would bark,ladrarías,you would bark,ladraría,he/she would bark,ladraríamos,we would bark,ladraríais,you would bark,ladrarían,they would bark,ladrando,barking,ladrado,barked
ladrar,to bark,indicativo,indicative,presente perfecto,present perfect,he ladrado,I have barked,has ladrado,you have barked,ha ladrado,he/she has barked,hemos ladrado,we have barked,habéis ladrado,you have barked,han ladrado,they have barked,ladrando,barking,ladrado,barked
ladrar,to bark,indicativo,indicative,futuro perfecto,future perfect,habré ladrado,I will have barked,habrás ladrado,you will have barked,habrá ladrado,he/she will has barked,habremos ladrado,we will have barked,habréis ladrado,you will have barked,habrán ladrado,they will have barked,ladrando,barking,ladrado,barked
ladrar,to bark,indicativo,indicative,pluscuamperfecto,past perfect,había ladrado,I had barked,habías ladrado,you had barked,había ladrado,he/she had barked,habíamos ladrado,we had barked,habíais ladrado,you had barked,habían ladrado,they had barked,ladrando,barking,ladrado,barked
ladrar,to bark,indicativo,indicative,pretérito anterior,preterite (archaic),hube ladrado,I had barked,hubiste ladrado,you had barked,hubo ladrado,he/she had barked,hubimos ladrado,we had barked,hubisteis ladrado,you had barked,hubieron ladrado,they had barked,ladrando,barking,ladrado,barked
ladrar,to bark,indicativo,indicative,condicional perfecto,conditional perfect,habría ladrado,I would have barked,habrías ladrado,you would have barked,habría ladrado,he/she would has barked,habríamos ladrado,we would have barked,habríais ladrado,you would have barked,habrían ladrado,they would have barked,ladrando,barking,ladrado,barked
ladrar,to bark,subjuntivo,subjunctive,presente,present,ladre,"I bark, am barking",ladres,"you bark, are barking",ladre,"he/she bark, is barking",ladremos,"we bark, are barking",ladréis,"you bark, are barking",ladren,"they bark, are barking",ladrando,barking,ladrado,barked
ladrar,to bark,subjuntivo,subjunctive,imperfecto,imperfect,ladrara,"I barked, was barking",ladraras,"you barked, were barking",ladrara,"he/she barked, was barking",ladráramos,"we barked, were barking",ladrarais,"you barked, were barking",ladraran,"they barked, were barking",ladrando,barking,ladrado,barked
ladrar,to bark,subjuntivo,subjunctive,futuro,future,ladrare,I will bark,ladrares,you will bark,ladrare,he/she will bark,ladráremos,we will bark,ladrareis,you will bark,ladraren,they will bark,ladrando,barking,ladrado,barked
ladrar,to bark,subjuntivo,subjunctive,presente perfecto,present perfect,haya ladrado,"I have barked, barked",hayas ladrado,"you have barked, barked",haya ladrado,"he/she has barked, barked",hayamos ladrado,"we have barked, barked",hayáis ladrado,"you have barked, barked",hayan ladrado,"they have barked, barked",ladrando,barking,ladrado,barked
ladrar,to bark,subjuntivo,subjunctive,futuro perfecto,future perfect,hubiere ladrado,I will have barked,hubieres ladrado,you will have barked,hubiere ladrado,he/she will has barked,hubiéremos ladrado,we will have barked,hubiereis ladrado,you will have barked,hubieren ladrado,they will have barked,ladrando,barking,ladrado,barked
ladrar,to bark,subjuntivo,subjunctive,pluscuamperfecto,past perfect,hubiera ladrado,I had barked,hubieras ladrado,you had barked,hubiera ladrado,he/she had barked,hubiéramos ladrado,we had barked,hubierais ladrado,you had barked,hubieran ladrado,they had barked,ladrando,barking,ladrado,barked
ladrar,to bark,imperativo_afirmativo,imperative_affirmative,presente,present,,,ladra,Bark!,ladrad,,,,ladre,,ladren,,ladrando,barking,ladrado,barked
ladrar,to bark,imperativo_negativo,imperative_negative,presente,present,,,no ladres,Don't bark!,no ladréis,,,,no ladre,,no ladren,,ladrando,barking,ladrado,barked
lamentar,"to lament, regret, feel sorry about",indicativo,indicative,presente,present,lamento,"I lament, am lamenting",lamentas,"you lareent, are lareenting",lamenta,"he/she lisent, is lisenting",lamentamos,"we lareent, are lareenting",lamentáis,"you lareent, are lareenting",lamentan,"they lareent, are lareenting",lamentando,lamenting,lamentado,lamented
lamentar,"to lament, regret, feel sorry about",indicativo,indicative,futuro,future,lamentaré,I will lament,lamentarás,you will lareent,lamentará,he/she will lisent,lamentaremos,we will lareent,lamentaréis,you will lareent,lamentarán,they will lareent,lamentando,lamenting,lamentado,lamented
lamentar,"to lament, regret, feel sorry about",indicativo,indicative,imperfecto,imperfect,lamentaba,"I was lamenting, used to lament, lamented",lamentabas,"you were lareenting, used to lareent, lareented",lamentaba,"he/she was lisenting, used to lisent, lisented",lamentábamos,"we were lareenting, used to lareent, lareented",lamentabais,"you were lareenting, used to lareent, lareented",lamentaban,"they were lareenting, used to lareent, lareented",lamentando,lamenting,lamentado,lamented
lamentar,"to lament, regret, feel sorry about",indicativo,indicative,pretérito,preterite,lamenté,I lamented,lamentaste,you lareented,lamentó,he/she lisented,lamentamos,we lareented,lamentasteis,you lareented,lamentaron,they lareented,lamentando,lamenting,lamentado,lamented
lamentar,"to lament, regret, feel sorry about",indicativo,indicative,condicional,conditional,lamentaría,I would lament,lamentarías,you would lareent,lamentaría,he/she would lisent,lamentaríamos,we would lareent,lamentaríais,you would lareent,lamentarían,they would lareent,lamentando,lamenting,lamentado,lamented
lamentar,"to lament, regret, feel sorry about",indicativo,indicative,presente perfecto,present perfect,he lamentado,I have lamented,has lamentado,you have lareented,ha lamentado,he/she has lisented,hemos lamentado,we have lareented,habéis lamentado,you have lareented,han lamentado,they have lareented,lamentando,lamenting,lamentado,lamented
lamentar,"to lament, regret, feel sorry about",indicativo,indicative,futuro perfecto,future perfect,habré lamentado,I will have lamented,habrás lamentado,you will have lareented,habrá lamentado,he/she will has lisented,habremos lamentado,we will have lareented,habréis lamentado,you will have lareented,habrán lamentado,they will have lareented,lamentando,lamenting,lamentado,lamented
lavar,to wash,indicativo,indicative,condicional,conditional,lavaría,I would wash,lavarías,you would wereh,lavaría,he/she would wash,lavaríamos,we would wereh,lavaríais,you would wereh,lavarían,they would wereh,lavando,washing,lavado,washed
lamentar,"to lament, regret, feel sorry about",indicativo,indicative,pluscuamperfecto,past perfect,había lamentado,I had lamented,habías lamentado,you had lareented,había lamentado,he/she had lisented,habíamos lamentado,we had lareented,habíais lamentado,you had lareented,habían lamentado,they had lareented,lamentando,lamenting,lamentado,lamented
lamentar,"to lament, regret, feel sorry about",indicativo,indicative,pretérito anterior,preterite (archaic),hube lamentado,I had lamented,hubiste lamentado,you had lareented,hubo lamentado,he/she had lisented,hubimos lamentado,we had lareented,hubisteis lamentado,you had lareented,hubieron lamentado,they had lareented,lamentando,lamenting,lamentado,lamented
lamentar,"to lament, regret, feel sorry about",indicativo,indicative,condicional perfecto,conditional perfect,habría lamentado,I would have lamented,habrías lamentado,you would have lareented,habría lamentado,he/she would has lisented,habríamos lamentado,we would have lareented,habríais lamentado,you would have lareented,habrían lamentado,they would have lareented,lamentando,lamenting,lamentado,lamented
lamentar,"to lament, regret, feel sorry about",subjuntivo,subjunctive,presente,present,lamente,"I lament, am lamenting",lamentes,"you lareent, are lareenting",lamente,"he/she lisent, is lisenting",lamentemos,"we lareent, are lareenting",lamentéis,"you lareent, are lareenting",lamenten,"they lareent, are lareenting",lamentando,lamenting,lamentado,lamented
lamentar,"to lament, regret, feel sorry about",subjuntivo,subjunctive,imperfecto,imperfect,lamentara,"I lamented, was lamenting",lamentaras,"you lareented, were lareenting",lamentara,"he/she lisented, was lisenting",lamentáramos,"we lareented, were lareenting",lamentarais,"you lareented, were lareenting",lamentaran,"they lareented, were lareenting",lamentando,lamenting,lamentado,lamented
lamentar,"to lament, regret, feel sorry about",subjuntivo,subjunctive,futuro,future,lamentare,I will lament,lamentares,you will lareent,lamentare,he/she will lisent,lamentáremos,we will lareent,lamentareis,you will lareent,lamentaren,they will lareent,lamentando,lamenting,lamentado,lamented
lamentar,"to lament, regret, feel sorry about",subjuntivo,subjunctive,presente perfecto,present perfect,haya lamentado,"I have lamented, lamented",hayas lamentado,"you have lareented, lareented",haya lamentado,"he/she has lisented, lisented",hayamos lamentado,"we have lareented, lareented",hayáis lamentado,"you have lareented, lareented",hayan lamentado,"they have lareented, lareented",lamentando,lamenting,lamentado,lamented
lamentar,"to lament, regret, feel sorry about",subjuntivo,subjunctive,futuro perfecto,future perfect,hubiere lamentado,I will have lamented,hubieres lamentado,you will have lareented,hubiere lamentado,he/she will has lisented,hubiéremos lamentado,we will have lareented,hubiereis lamentado,you will have lareented,hubieren lamentado,they will have lareented,lamentando,lamenting,lamentado,lamented
